channel_id,sequence,send_height,ack_height,block_delay
channel-92956,249,30398119,30398132,13
channel-750,686247,30398119,30398148,29
channel-750,686248,30398119,30398129,10
channel-750,686249,30398120,30398142,22
channel-0,4041287,30398120,30398156,36
channel-208,1491470,30398120,30398130,10
channel-750,686250,30398121,30398134,13
channel-0,4041288,30398122,30398132,10
channel-38946,124467,30398123,30398145,22
channel-122,668598,30398125,30398128,3
channel-750,686251,30398128,30398139,11
channel-89321,19626,30398128,30398149,21
channel-6994,1326720,30398131,30398145,14
channel-750,686252,30398134,30398139,5
channel-750,686253,30398135,30398142,7
channel-750,686254,30398137,30398142,5
channel-750,686255,30398146,30398174,28
channel-750,686256,30398146,30398157,11
channel-750,686257,30398147,30398161,14
channel-750,686258,30398150,30398163,13
channel-0,4041289,30398153,30398166,13
channel-208,1491471,30398156,30398168,12
channel-750,686259,30398157,30398173,16
channel-89321,19627,30398165,30398189,24
channel-85077,61551,30398166,30398175,9
channel-6994,1326721,30398169,30398179,10
channel-0,4041290,30398171,30398180,9
channel-6994,1326722,30398171,30398184,13
channel-750,686260,30398171,30398185,14
channel-0,4041291,30398171,30398180,9
channel-750,686261,30398174,30398185,11
channel-89321,19628,30398177,30398184,7
channel-750,686262,30398179,30398191,12
channel-750,686263,30398179,30398211,32
channel-6994,1326723,30398180,30398193,13
channel-76971,12276,30398181,30398199,18
channel-6994,1326724,30398186,30398198,12
channel-750,686264,30398186,30398191,5
channel-750,686265,30398188,30398199,11
channel-750,686266,30398189,30398195,6
channel-750,686267,30398191,30398200,9
channel-89298,18802,30398199,30398216,17
channel-89321,19629,30398200,30398208,8
channel-95,331609,30398201,30398220,19
channel-113,301424,30398202,30398341,139
channel-750,686268,30398202,30398214,12
channel-750,686269,30398205,30398216,11
channel-0,4041292,30398205,30398224,19
channel-750,686270,30398212,30398218,6
channel-0,4041293,30398216,30398227,11
channel-750,686271,30398216,30398221,5
channel-85077,61552,30398217,30398227,10
channel-122,668599,30398224,30398227,3
channel-19774,346283,30398226,30398238,12
channel-0,4041294,30398227,30398234,7
channel-122,668600,30398227,30398231,4
channel-750,686272,30398236,30398259,23
channel-0,4041295,30398241,30398258,17
channel-75755,5565,30398251,30398264,13
channel-6994,1326725,30398258,30398266,8
channel-122,668601,30398262,30398264,2
channel-6994,1326726,30398268,30398712,444
channel-0,4041296,30398270,30398282,12
channel-85077,61553,30398273,30398284,11
channel-199,133119,30398274,30398284,10
channel-750,686273,30398275,30398281,6
channel-199,133120,30398282,30398293,11
channel-208,1491472,30398286,30398295,9
channel-0,4041297,30398286,30398305,19
channel-750,686274,30398287,30398310,23
channel-0,4041298,30398289,30398305,16
channel-6994,1326727,30398300,30398313,13
channel-750,686275,30398302,30398317,15
channel-320,119329,30398302,30398337,35
channel-85077,61554,30398302,30398322,20
channel-750,686276,30398303,30398308,5
channel-85077,61555,30398303,30398322,19
channel-85077,61556,30398306,30398317,11
channel-750,686277,30398309,30398318,9
channel-85077,61557,30398310,30398322,12
channel-85077,61558,30398311,30398324,13
channel-750,686278,30398314,30398318,4
channel-6994,1326728,30398317,30398325,8
channel-750,686279,30398323,30398327,4
channel-340,3217,30398326,30398335,9
channel-0,4041299,30398326,30398338,12
channel-122,668602,30398326,30398330,4
channel-750,686280,30398328,30398351,23
channel-89321,19630,30398329,30398341,12
channel-85077,61559,30398338,30398347,9
channel-750,686281,30398354,30398359,5
channel-0,4041300,30398369,30398386,17
channel-6994,1326729,30398377,30398391,14
channel-750,686282,30398377,30398391,14
channel-750,686283,30398390,30398411,21
channel-85186,865,30398390,30398401,11
channel-19774,346284,30398403,30398411,8
channel-42,1490126,30398406,30398420,14
channel-85077,61560,30398410,30398421,11
channel-412,64714,30398412,30398423,11
channel-0,4041301,30398412,30398432,20
channel-208,1491473,30398415,30398425,10
channel-750,686284,30398417,30398423,6
channel-6897,5662,30398422,30398428,6
channel-19774,346285,30398432,30398442,10
channel-85077,61561,30398433,30398444,11
channel-0,4041302,30398441,30398452,11
channel-750,686285,30398445,30398470,25
channel-89321,19631,30398447,30398460,13
channel-259,314526,30398448,30398454,6
channel-85077,61562,30398451,30398461,10
channel-19774,346286,30398452,30398461,9
channel-75,845533,30398452,30398460,8
channel-750,686286,30398456,30398468,12
channel-85077,61563,30398463,30398475,12
channel-750,686287,30398465,30398477,12
channel-6994,1326730,30398468,30398477,9
channel-94814,3830,30398468,30398484,16
channel-0,4041303,30398471,30398483,12
channel-89298,18803,30398477,30398486,9
channel-0,4041304,30398493,30398504,11
channel-85077,61564,30398496,30398504,8
channel-6994,1326731,30398503,30398514,11
channel-208,1491474,30398504,30398512,8
channel-216,94369,30398504,30398575,71
channel-2494,32007,30398507,30398518,11
channel-6994,1326732,30398508,30398519,11
channel-750,686288,30398509,30398524,15
channel-85077,61565,30398511,30398520,9
channel-750,686289,30398513,30398539,26
channel-340,3218,30398516,30398524,8
channel-19774,346287,30398524,30398534,10
channel-199,133121,30398525,30398536,11
channel-85077,61566,30398525,30398537,12
channel-85077,61567,30398529,30398540,11
channel-85077,61568,30398531,30398549,18
channel-208,1491475,30398543,30398554,11
channel-5,184426,30398550,30398563,13
channel-0,4041305,30398550,30398568,18
channel-0,4041306,30398557,30398577,20
channel-42,1490127,30398561,30398566,5
channel-750,686290,30398567,30398582,15
channel-750,686291,30398573,30398595,22
channel-19774,346288,30398577,30398586,9
channel-199,133122,30398577,30398588,11
channel-122,668604,30398582,30398586,4
channel-85077,61569,30398587,30398597,10
channel-85077,61570,30398590,30398607,17
channel-122,668605,30398590,30398594,4
channel-6994,1326733,30398597,30398605,8
channel-782,310336,30398599,30398604,5
channel-6994,1326734,30398599,30398611,12
channel-6994,1326735,30398612,30398621,9
channel-750,686292,30398613,30398649,36
channel-85077,61571,30398613,30398621,8
channel-89298,18804,30398613,30398623,10
channel-143,128524,30398622,30398639,17
channel-750,686293,30398626,30398648,22
channel-6994,1326736,30398639,30398649,10
channel-0,4041307,30398641,30398659,18
channel-85077,61572,30398643,30398651,8
channel-85077,61573,30398645,30398654,9
channel-750,686294,30398657,30398667,10
channel-85077,61574,30398659,30398668,9
channel-19774,346289,30398664,30398677,13
channel-6994,1326737,30398664,30398674,10
channel-783,104473,30398674,30398685,11
channel-85077,61575,30398678,30398685,7
channel-0,4041308,30398681,30398688,7
channel-251,85322,30398683,30398691,8
channel-0,4041309,30398687,30398702,15
channel-0,4041310,30398688,30398702,14
channel-6994,1326738,30398688,30398698,10
channel-6994,1326739,30398690,30398707,17
channel-750,686295,30398690,30398695,5
channel-6994,1326740,30398693,30398703,10
channel-750,686296,30398695,30398722,27
channel-0,4041311,30398696,30398708,12
channel-750,686297,30398696,30398701,5
channel-750,686298,30398700,30398710,10
channel-208,1491476,30398705,30398717,12
channel-4,167118,30398707,30398717,10
channel-19774,346290,30398708,30398721,13
channel-6994,1326741,30398709,30398721,12
channel-750,686299,30398709,30398724,15
channel-750,686300,30398712,30398723,11
channel-750,686301,30398715,30398728,13
channel-1,408864,30398722,30398733,11
channel-6994,1326742,30398722,30398734,12
channel-6994,1326743,30398727,30398740,13
channel-122,668606,30398727,30398733,6
channel-750,686302,30398730,30398754,24
channel-750,686303,30398730,30398764,34
channel-122,668607,30398731,30398737,6
channel-0,4041312,30398733,30398752,19
channel-750,686304,30398733,30398748,15
channel-89298,18805,30398734,30398747,13
channel-0,4041313,30398735,30398752,17
channel-38946,124468,30398735,30398758,23
channel-750,686305,30398737,30398754,17
channel-750,686306,30398740,30398755,15
channel-750,686307,30398745,30398754,9
channel-0,4041314,30398747,30398771,24
channel-320,119330,30398749,30398794,45
channel-750,686308,30398750,30398764,14
channel-750,686309,30398751,30398764,13
channel-85077,61576,30398754,30398763,9
channel-750,686310,30398756,30398768,12
channel-208,1491477,30398762,30398773,11
channel-750,686311,30398765,30398774,9
channel-750,686312,30398767,30398790,23
channel-1,408865,30398769,30398777,8
channel-6994,1326744,30398771,30398781,10
channel-6994,1326745,30398779,30398791,12
channel-0,4041315,30398779,30398806,27
channel-85077,61577,30398779,30398787,8
channel-750,686313,30398780,30398795,15
channel-783,104474,30398783,30398790,7
channel-750,686314,30398791,30398796,5
channel-1,408866,30398804,30398828,24
channel-6994,1326746,30398808,30398817,9
channel-6994,1326747,30398810,30398826,16
channel-412,64715,30398811,30398818,7
channel-122,668608,30398816,30398820,4
channel-750,686315,30398817,30398828,11
channel-216,94370,30398819,30398950,131
channel-750,686316,30398830,30398841,11
channel-208,1491478,30398835,30398847,12
channel-750,686317,30398837,30398853,16
channel-750,686318,30398838,30398871,33
channel-750,686319,30398863,30398874,11
channel-6994,1326748,30398865,30398875,10
channel-750,686320,30398868,30398878,10
channel-6994,1326749,30398870,30398879,9
channel-92956,250,30398871,30398886,15
channel-750,686321,30398872,30398882,10
channel-750,686322,30398878,30398890,12
channel-208,1491479,30398878,30398888,10
channel-750,686323,30398883,30398889,6
channel-6994,1326750,30398885,30398894,9
channel-6994,1326751,30398893,30398904,11
channel-85077,61578,30398899,30398907,8
channel-750,686324,30398902,30398926,24
channel-750,686325,30398929,30398933,4
channel-19774,346291,30398936,30398948,12
channel-750,686326,30398938,30398948,10
channel-122,668609,30398942,30398947,5
channel-0,4041316,30398946,30398956,10
channel-92956,251,30398947,30398956,9
channel-0,4041317,30398948,30398957,9
channel-0,4041318,30398949,30398957,8
