channel_id,sequence,send_height,ack_height,block_delay
channel-85077,58913,30202104,30202145,41
channel-87,182883,30202104,30202116,12
channel-208,1489131,30202105,30202112,7
channel-2188,43399,30202106,30202111,5
channel-750,680773,30202107,30202122,15
channel-6994,1322486,30202107,30202138,31
channel-750,680774,30202111,30202122,11
channel-251,85118,30202113,30202124,11
channel-208,1489132,30202117,30202127,10
channel-750,680775,30202120,30202126,6
channel-750,680776,30202120,30202139,19
channel-750,680777,30202120,30202134,14
channel-750,680778,30202120,30202126,6
channel-874,292252,30202121,30202128,7
channel-91017,2695,30202122,30202132,10
channel-0,4035796,30202125,30202138,13
channel-6994,1322487,30202127,30202138,11
channel-4,166745,30202128,30202169,41
channel-0,4035797,30202131,30202151,20
channel-0,4035798,30202131,30202156,25
channel-750,680779,30202134,30202143,9
channel-208,1489133,30202136,30202149,13
channel-750,680780,30202136,30202141,5
channel-208,1489134,30202136,30202149,13
channel-1,408009,30202139,30202169,30
channel-750,680781,30202139,30202148,9
channel-750,680782,30202142,30202167,25
channel-85077,58914,30202149,30202177,28
channel-0,4035799,30202151,30202180,29
channel-208,1489135,30202154,30202166,12
channel-750,680783,30202154,30202164,10
channel-874,292253,30202154,30202160,6
channel-2188,43400,30202157,30202161,4
channel-1,408010,30202157,30202169,12
channel-199,132471,30202158,30202168,10
channel-122,667449,30202159,30202162,3
channel-0,4035800,30202160,30202186,26
channel-91017,2696,30202161,30202169,8
channel-143,128219,30202162,30202174,12
channel-85077,58915,30202168,30202177,9
channel-208,1489136,30202170,30202179,9
channel-88,466987,30202173,30202289,116
channel-216,94042,30202175,30202179,4
channel-208,1489137,30202177,30202189,12
channel-750,680784,30202181,30202191,10
channel-208,1489138,30202181,30202192,11
channel-0,4035801,30202181,30202189,8
channel-750,680785,30202183,30202191,8
channel-229,54988,30202183,30202198,15
channel-750,680786,30202184,30202189,5
channel-412,64376,30202186,30202196,10
channel-122,667450,30202188,30202198,10
channel-5,184174,30202191,30202203,12
channel-208,1489139,30202194,30202206,12
channel-85791,3687,30202195,30202202,7
channel-208,1489140,30202195,30202206,11
channel-412,64377,30202195,30202205,10
channel-91017,2697,30202197,30202206,9
channel-642,126463,30202198,30202344,146
channel-750,680787,30202199,30202223,24
channel-750,680788,30202200,30202212,12
channel-1429,140631,30202202,30202213,11
channel-750,680789,30202204,30202209,5
channel-750,680790,30202205,30202213,8
channel-750,680791,30202209,30202213,4
channel-122,667451,30202210,30202213,3
channel-750,680792,30202215,30202232,17
channel-0,4035802,30202217,30202227,10
channel-326,537282,30202218,30202223,5
channel-412,64378,30202223,30202232,9
channel-208,1489141,30202225,30202235,10
channel-750,680793,30202230,30202243,13
channel-1,408011,30202232,30202261,29
channel-0,4035803,30202232,30202246,14
channel-750,680794,30202235,30202240,5
channel-72,516372,30202237,30202339,102
channel-0,4035804,30202238,30202371,133
channel-750,680795,30202241,30202249,8
channel-91017,2698,30202241,30202248,7
channel-143,128220,30202242,30202266,24
channel-4,166746,30202243,30202263,20
channel-750,680796,30202246,30202260,14
channel-326,537283,30202246,30202254,8
channel-750,680797,30202250,30202264,14
channel-0,4035805,30202250,30202270,20
channel-782,310008,30202251,30202256,5
channel-750,680798,30202252,30202264,12
channel-750,680799,30202256,30202267,11
channel-750,680800,30202259,30202264,5
channel-0,4035806,30202263,30202280,17
channel-2186,40740,30202263,30202286,23
channel-2188,43401,30202264,30202266,2
channel-750,680801,30202264,30202288,24
channel-750,680802,30202266,30202270,4
channel-208,1489142,30202268,30202278,10
channel-750,680803,30202268,30202284,16
channel-0,4035807,30202268,30202280,12
channel-750,680804,30202276,30202282,6
channel-341,3375,30202277,30202289,12
channel-208,1489143,30202277,30202287,10
channel-0,4035808,30202281,30202304,23
channel-750,680805,30202284,30202297,13
channel-320,119117,30202285,30202318,33
channel-750,680806,30202287,30202292,5
channel-0,4035809,30202289,30202299,10
channel-5,184175,30202296,30202307,11
channel-85077,58916,30202297,30202320,23
channel-0,4035810,30202299,30202309,10
channel-208,1489144,30202301,30202311,10
channel-208,1489145,30202304,30202314,10
channel-0,4035811,30202309,30202319,10
channel-750,680807,30202319,30202342,23
channel-85077,58917,30202319,30202355,36
channel-0,4035812,30202322,30202340,18
channel-85077,58918,30202323,30202355,32
channel-750,680808,30202327,30202342,15
channel-6994,1322488,30202327,30202411,84
channel-0,4035813,30202331,30202340,9
channel-750,680809,30202334,30202345,11
channel-208,1489146,30202337,30202348,11
channel-5,184176,30202337,30202348,11
channel-6994,1322489,30202345,30202411,66
channel-750,680810,30202352,30202365,13
channel-340,3129,30202352,30202395,43
channel-750,680811,30202358,30202363,5
channel-208,1489147,30202367,30202378,11
channel-326,537284,30202368,30202378,10
channel-1,408012,30202370,30202379,9
channel-750,680812,30202374,30202405,31
channel-6994,1322490,30202378,30202388,10
channel-0,4035814,30202381,30202390,9
channel-79703,4391,30202385,30202399,14
channel-326,537285,30202394,30202399,5
channel-874,292254,30202397,30202409,12
channel-148,16074,30202411,30202418,7
channel-208,1489148,30202414,30202423,9
channel-208,1489149,30202415,30202423,8
channel-87,182884,30202425,30202434,9
channel-0,4035815,30202427,30202438,11
channel-89298,18539,30202428,30202438,10
channel-750,680813,30202428,30202432,4
channel-750,680814,30202428,30202432,4
channel-208,1489150,30202438,30202449,11
channel-85077,58919,30202438,30202470,32
channel-750,680815,30202450,30202468,18
channel-208,1489151,30202451,30202464,13
channel-208,1489152,30202451,30202464,13
channel-216,94043,30202452,30202456,4
