channel_id,sequence,send_height,ack_height,block_delay,send_time,ack_time,fee_amount,fee_denom
channel-85077,58906,30201859,30201883.0,24.0,,,,
channel-216,94034,30201872,30201876.0,4.0,,,,
channel-750,680695,30201872,30201887.0,15.0,,,,
channel-326,537279,30201876,30201896.0,20.0,,,,
channel-2188,43398,30201878,30201882.0,4.0,,,,
channel-6994,1322482,30201884,30201896.0,12.0,,,,
channel-94814,3684,30201889,30201900.0,11.0,,,,
channel-208,1489116,30201896,30201906.0,10.0,,,,
channel-85077,58907,30201902,30201911.0,9.0,,,,
channel-750,680696,30201913,30201917.0,4.0,,,,
channel-19774,345658,30201914,30201919.0,5.0,,,,
channel-750,680697,30201918,30201935.0,17.0,,,,
channel-229,54986,30201918,30201927.0,9.0,,,,
channel-1429,140627,30201919,30201925.0,6.0,,,,
channel-251,85115,30201919,30201939.0,20.0,,,,
channel-0,4035778,30201921,30201945.0,24.0,,,,
channel-750,680698,30201922,30201931.0,9.0,,,,
channel-0,4035779,30201928,30201943.0,15.0,,,,
channel-750,680699,30201929,30201936.0,7.0,,,,
channel-750,680700,30201929,30201936.0,7.0,,,,
channel-750,680701,30201929,30201936.0,7.0,,,,
channel-750,680702,30201931,30201940.0,9.0,,,,
channel-91017,2692,30201931,30201937.0,6.0,,,,
channel-216,94035,30201932,30201936.0,4.0,,,,
channel-2,130555,30201932,30201942.0,10.0,,,,
channel-750,680703,30201932,30201943.0,11.0,,,,
channel-251,85116,30201932,30201939.0,7.0,,,,
channel-750,680704,30201933,30201943.0,10.0,,,,
channel-750,680705,30201933,30201940.0,7.0,,,,
channel-188,190500,30201936,30201966.0,30.0,,,,
channel-750,680706,30201937,30201947.0,10.0,,,,
channel-0,4035780,30201938,30201954.0,16.0,,,,
channel-750,680707,30201939,30201951.0,12.0,,,,
channel-216,94036,30201940,30201944.0,4.0,,,,
channel-0,4035781,30201942,30201954.0,12.0,,,,
channel-750,680708,30201943,30201957.0,14.0,,,,
