channel_id,sequence,send_height,ack_height,block_delay
channel-42,1489732,30162793,30162802,9
channel-89321,19256,30162798,30162808,10
channel-38946,123927,30162800,30162813,13
channel-750,679981,30162806,30162814,8
channel-208,1488812,30162814,30162824,10
channel-75,844290,30162837,30162844,7
channel-750,679982,30162838,30162852,14
channel-750,679983,30162839,30162860,21
channel-0,4034887,30162846,30162859,13
channel-115,20314,30162858,30162868,10
channel-75,844291,30162858,30162864,6
channel-72,516335,30162884,30162921,37
channel-75,844292,30162895,30162903,8
channel-0,4034888,30162897,30162906,9
channel-326,537078,30162927,30162950,23
channel-750,679984,30162954,30162967,13
channel-75,844293,30162960,30162969,9
channel-2188,43335,30162963,30162968,5
channel-750,679985,30162964,30162978,14
channel-750,679986,30162964,30162978,14
channel-6994,1322086,30162976,30162989,13
channel-199,132312,30162980,30163002,22
channel-199,132313,30162980,30162989,9
channel-750,679987,30162986,30162999,13
channel-750,679988,30162986,30162999,13
channel-750,679989,30162987,30162999,12
channel-750,679990,30162991,30163006,15
channel-6994,1322087,30162998,30163012,14
channel-199,132314,30163001,30163026,25
channel-85791,3675,30163015,30163023,8
channel-0,4034889,30163024,30163032,8
channel-208,1488813,30163027,30163040,13
channel-6994,1322088,30163058,30163076,18
channel-0,4034890,30163062,30163072,10
channel-874,292136,30163088,30163093,5
channel-6787,166530,30163093,30163100,7
channel-326,537079,30163101,30163108,7
channel-0,4034891,30163107,30163116,9
channel-750,679991,30163113,30163118,5
channel-15464,2646,30163118,30163131,13
channel-874,292137,30163128,30163133,5
channel-782,309988,30163137,30163143,6
channel-750,679992,30163143,30163154,11
channel-0,4034892,30163163,30163173,10
channel-0,4034893,30163190,30163199,9
channel-1,407891,30163190,30163209,19
channel-750,679993,30163198,30163207,9
channel-750,679994,30163208,30163221,13
channel-0,4034894,30163210,30163221,11
channel-750,679995,30163213,30163225,12
channel-4,166704,30163216,30163229,13
channel-0,4034895,30163223,30163232,9
channel-750,679996,30163231,30163242,11
channel-750,679997,30163231,30163243,12
channel-750,679998,30163248,30163261,13
channel-750,679999,30163252,30163257,5
channel-85077,58195,30163254,30163290,36
channel-4,166705,30163272,30163296,24
channel-750,680000,30163274,30163284,10
channel-326,537080,30163284,30163291,7
channel-326,537081,30163309,30163335,26
channel-6994,1322089,30163312,30163322,10
channel-208,1488814,30163318,30163328,10
channel-0,4034896,30163319,30163332,13
channel-750,680001,30163328,30163342,14
channel-0,4034897,30163328,30163336,8
channel-750,680002,30163334,30163339,5
channel-0,4034898,30163338,30163350,12
channel-6994,1322090,30163364,30163412,48
channel-874,292138,30163372,30163377,5
channel-750,680003,30163373,30163378,5
channel-0,4034899,30163375,30163388,13
channel-85077,58196,30163407,30163424,17
channel-750,680004,30163410,30163422,12
channel-85791,3676,30163423,30163433,10
channel-85077,58197,30163426,30163455,29
channel-874,292139,30163431,30163437,6
channel-85077,58198,30163437,30163455,18
channel-782,309989,30163446,30163452,6
channel-2188,43336,30163456,30163461,5
channel-85077,58199,30163461,30163485,24
channel-2188,43337,30163464,30163468,4
channel-2188,43338,30163478,30163483,5
channel-0,4034900,30163492,30163500,8
channel-85077,58200,30163494,30163512,18
channel-2188,43339,30163500,30163506,6
channel-94814,3655,30163506,30163514,8
channel-874,292140,30163506,30163510,4
channel-85077,58201,30163509,30163543,34
channel-2188,43340,30163520,30163525,5
channel-1,407892,30163528,30163544,16
channel-2188,43341,30163529,30163534,5
channel-0,4034901,30163548,30163558,10
channel-208,1488815,30163552,30163564,12
channel-6994,1322091,30163561,30163570,9
channel-750,680005,30163582,30163595,13
channel-88,466947,30163589,30163604,15
channel-783,104102,30163592,30163600,8
channel-208,1488816,30163601,30163608,7
channel-85077,58202,30163602,30163623,21
channel-88,466948,30163637,30163654,17
channel-750,680006,30163664,30163668,4
channel-208,1488817,30163680,30163690,10
channel-1,407893,30163698,30163719,21
channel-85077,58203,30163699,30163729,30
channel-1,407894,30163699,30163719,20
channel-6994,1322092,30163701,30163719,18
channel-750,680007,30163701,30163715,14
channel-750,680008,30163706,30163719,13
channel-94814,3656,30163723,30163732,9
channel-750,680009,30163741,30163746,5
channel-208,1488818,30163756,30163765,9
channel-782,309990,30163765,30163772,7
channel-85077,58204,30163772,30163785,13
channel-2188,43342,30163832,30163836,4
channel-216,93977,30163847,30163851,4
channel-750,680010,30163856,30163860,4
channel-85077,58205,30163863,30163889,26
channel-0,4034902,30163863,30163871,8
channel-0,4034903,30163874,30163886,12
channel-750,680011,30163890,30163894,4
channel-783,104103,30163895,30163900,5
channel-750,680012,30163910,30163915,5
channel-122,667302,30163918,30163922,4
channel-326,537082,30163929,30163947,18
channel-122,667303,30163947,30163950,3
channel-85077,58206,30164017,30164038,21
channel-75,844294,30164059,30164067,8
channel-750,680013,30164084,30164096,12
channel-85077,58207,30164117,30164137,20
channel-5,184121,30164153,30164164,11
channel-208,1488819,30164155,30164165,10
channel-326,537083,30164158,30164166,8
channel-19774,345595,30164188,30164199,11
channel-0,4034904,30164203,30164212,9
channel-1,407895,30164234,30164273,39
channel-750,680014,30164247,30164252,5
channel-72,516336,30164265,30164290,25
channel-2494,31796,30164286,30164299,13
channel-251,85086,30164289,30164300,11
channel-85077,58208,30164310,30164334,24
channel-874,292141,30164331,30164339,8
channel-0,4034905,30164336,30164372,36
channel-85077,58209,30164340,30164367,27
channel-326,537084,30164343,30164362,19
channel-6994,1322093,30164352,30164368,16
channel-874,292142,30164352,30164369,17
channel-85077,58210,30164371,30164395,24
channel-874,292143,30164386,30164395,9
channel-6994,1322094,30164396,30164410,14
channel-5,184122,30164403,30164413,10
channel-874,292144,30164429,30164450,21
channel-89321,19257,30164436,30164446,10
channel-874,292145,30164436,30164461,25
channel-0,4034906,30164439,30164449,10
channel-0,4034907,30164454,30164466,12
channel-0,4034908,30164465,30164476,11
channel-874,292146,30164487,30164505,18
channel-6994,1322095,30164495,30164537,42
channel-874,292147,30164515,30164519,4
channel-0,4034909,30164546,30164555,9
channel-874,292148,30164556,30164563,7
channel-6994,1322096,30164557,30164574,17
channel-0,4034910,30164567,30164577,10
channel-85077,58211,30164573,30164593,20
channel-6994,1322097,30164575,30164630,55
channel-85077,58212,30164629,30164648,19
channel-874,292149,30164630,30164636,6
channel-85077,58213,30164631,30164648,17
channel-85077,58214,30164660,30164683,23
channel-208,1488820,30164661,30164673,12
channel-208,1488821,30164675,30164688,13
channel-750,680015,30164679,30164688,9
channel-42,1489733,30164688,30164695,7
channel-1,407896,30164697,30164721,24
channel-85077,58215,30164698,30164714,16
channel-0,4034911,30164698,30164709,11
channel-6994,1322098,30164702,30164730,28
channel-85077,58216,30164718,30164741,23
channel-208,1488822,30164721,30164739,18
channel-199,132315,30164724,30164732,8
channel-326,537085,30164726,30164747,21
channel-5,184123,30164730,30164740,10
channel-85077,58217,30164734,30164741,7
channel-6994,1322099,30164738,30164747,9
channel-1,407897,30164739,30164754,15
channel-208,1488823,30164746,30164756,10
channel-85077,58218,30164748,30164773,25
channel-1,407898,30164758,30164806,48
channel-216,93978,30164763,30164768,5
channel-0,4034912,30164769,30164782,13
channel-208,1488824,30164774,30164784,10
channel-6994,1322100,30164793,30164802,9
channel-0,4034913,30164793,30164802,9
channel-208,1488825,30164817,30164827,10
channel-91017,2642,30164823,30164831,8
channel-6994,1322101,30164831,30164845,14
channel-91017,2643,30164843,30164853,10
channel-6994,1322102,30164844,30164855,11
channel-208,1488826,30164850,30164863,13
channel-75,844295,30164851,30164858,7
channel-4,166706,30164854,30164879,25
channel-88,466949,30164861,30164878,17
channel-88,466950,30164867,30164889,22
channel-88,466951,30164879,30164904,25
channel-208,1488827,30164879,30164900,21
channel-88,466952,30164888,30164912,24
channel-88,466953,30164891,30164912,21
channel-1,407899,30164894,30164913,19
channel-208,1488828,30164900,30164916,16
channel-2188,43343,30164901,30164906,5
channel-4,166707,30164901,30164926,25
channel-4,166708,30164916,30164958,42
channel-72,516337,30164917,30164943,26
channel-208,1488829,30164919,30164928,9
channel-0,4034914,30164926,30164936,10
channel-0,4034915,30164928,30164936,8
channel-208,1488830,30164932,30164942,10
channel-750,680016,30164940,30164944,4
channel-208,1488831,30164953,30164964,11
channel-1,407900,30164959,30164970,11
channel-4,166709,30164959,30164981,22
channel-5,184124,30164963,30164974,11
channel-208,1488832,30164968,30164978,10
channel-122,667304,30164981,30164986,5
channel-85077,58219,30164983,30164998,15
