timestamp,n_txs,total,total_bytes
2025-03-24 21:04:41,8,8,4343
2025-03-24 21:04:44,2,2,32554
2025-03-24 21:04:48,0,0,0
2025-03-24 21:04:53,3,3,29139
2025-03-24 21:04:57,4,4,1669
2025-03-24 21:05:01,0,0,0
2025-03-24 21:05:06,1,1,943
2025-03-24 21:05:10,0,0,0
2025-03-24 21:05:14,0,0,0
2025-03-24 21:05:16,2,2,42453
2025-03-24 21:05:21,2,2,27428
2025-03-24 21:05:26,4,4,56969
2025-03-24 21:05:30,4,4,28059
2025-03-24 21:05:35,1,1,29252
2025-03-24 21:05:40,5,5,57091
2025-03-24 21:05:45,2,2,29716
2025-03-24 21:05:47,3,3,10906
2025-03-24 21:05:52,1,1,30283
2025-03-24 21:05:57,7,7,51351
2025-03-24 21:06:02,3,3,35736
2025-03-24 21:06:06,2,2,673
2025-03-24 21:06:11,2,2,673
2025-03-24 21:06:15,4,4,1383
2025-03-24 21:06:16,0,0,0
2025-03-24 21:06:21,2,2,15698
2025-03-24 21:06:25,0,0,0
2025-03-24 21:06:29,1,1,1391
2025-03-24 21:06:34,5,5,56386
2025-03-24 21:06:39,2,2,29467
2025-03-24 21:06:44,3,3,28986
2025-03-24 21:06:46,3,3,33407
2025-03-24 21:06:51,7,7,37236
2025-03-24 21:06:55,1,1,257
2025-03-24 21:07:00,0,0,0
2025-03-24 21:07:04,0,0,0
2025-03-24 21:07:08,1,1,343
2025-03-24 21:07:13,2,2,24225
2025-03-24 21:07:16,3,3,56045
2025-03-24 21:07:21,3,3,1144
2025-03-24 21:07:25,3,3,27352
2025-03-24 21:07:29,7,7,43672
2025-03-24 21:07:33,4,4,1174
2025-03-24 21:07:38,3,3,58177
2025-03-24 21:07:43,0,0,0
2025-03-24 21:07:45,0,0,0
2025-03-24 21:07:49,2,2,663
2025-03-24 21:07:53,3,3,1164
2025-03-24 21:07:57,3,3,1015
2025-03-24 21:08:01,2,2,1002
2025-03-24 21:08:06,5,5,2492
2025-03-24 21:08:10,2,2,759
2025-03-24 21:08:14,4,4,1254
2025-03-24 21:08:16,6,6,3113
2025-03-24 21:08:21,0,0,0
2025-03-24 21:08:25,1,1,336
2025-03-24 21:08:29,2,2,15419
2025-03-24 21:08:34,1,1,28814
2025-03-24 21:08:39,5,5,30247
2025-03-24 21:08:44,2,2,16970
2025-03-24 21:08:46,4,4,29227
2025-03-24 21:08:51,3,3,54540
2025-03-24 21:08:55,0,0,0
2025-03-24 21:09:00,2,2,17175
2025-03-24 21:09:04,1,1,678
2025-03-24 21:09:09,0,0,0
2025-03-24 21:09:14,2,2,27512
2025-03-24 21:09:15,3,3,27769
2025-03-24 21:09:20,0,0,0
2025-03-24 21:09:24,1,1,337
2025-03-24 21:09:28,4,4,1656
2025-03-24 21:09:32,7,7,22188
2025-03-24 21:09:37,1,1,665
2025-03-24 21:09:41,3,3,27657
2025-03-24 21:09:44,6,6,44178
2025-03-24 21:09:49,2,2,17467
2025-03-24 21:09:53,6,6,28412
2025-03-24 21:09:58,1,1,338
2025-03-24 21:10:03,1,1,30709
2025-03-24 21:10:07,0,0,0
2025-03-24 21:10:11,6,6,28018
2025-03-24 21:10:16,2,2,702
2025-03-24 21:10:17,0,0,0
2025-03-24 21:10:21,2,2,819
2025-03-24 21:10:26,0,0,0
2025-03-24 21:10:30,2,2,683
2025-03-24 21:10:35,2,2,683
2025-03-24 21:10:39,0,0,0
2025-03-24 21:10:43,1,1,321
2025-03-24 21:10:45,3,3,27347
2025-03-24 21:10:49,3,3,30342
2025-03-24 21:10:54,0,0,0
2025-03-24 21:10:58,3,3,29684
2025-03-24 21:11:03,2,2,56017
2025-03-24 21:11:07,1,1,338
2025-03-24 21:11:12,1,1,29179
2025-03-24 21:11:16,3,3,56422
2025-03-24 21:11:21,1,1,512
2025-03-24 21:11:23,6,6,59200
2025-03-24 21:11:28,2,2,820
2025-03-24 21:11:32,1,1,29253
2025-03-24 21:11:37,1,1,29253
2025-03-24 21:11:41,2,2,19644
2025-03-24 21:11:45,0,0,0
2025-03-24 21:11:50,3,3,1151
2025-03-24 21:11:52,5,5,28428
2025-03-24 21:11:56,6,6,57591
2025-03-24 21:12:00,0,0,0
2025-03-24 21:12:05,4,4,30171
2025-03-24 21:12:09,0,0,0
2025-03-24 21:12:13,3,3,29542
2025-03-24 21:12:17,1,1,675
2025-03-24 21:12:22,2,2,1341
2025-03-24 21:12:26,2,2,28345
2025-03-24 21:12:28,2,2,1003
2025-03-24 21:12:32,2,2,1003
2025-03-24 21:12:36,4,4,1864
2025-03-24 21:12:40,1,1,324
2025-03-24 21:12:45,1,1,324
2025-03-24 21:12:49,1,1,27282
2025-03-24 21:12:54,2,2,29556
2025-03-24 21:12:56,0,0,0
2025-03-24 21:13:01,1,1,343
2025-03-24 21:13:04,1,1,502
2025-03-24 21:13:09,3,3,1159
2025-03-24 21:13:13,1,1,500
2025-03-24 21:13:17,1,1,400
2025-03-24 21:13:21,3,3,1041
2025-03-24 21:13:25,1,1,338
2025-03-24 21:13:27,1,1,323
2025-03-24 21:13:31,3,3,27052
2025-03-24 21:13:36,1,1,337
2025-03-24 21:13:40,2,2,1493
2025-03-24 21:13:45,3,3,8515
2025-03-24 21:13:49,0,0,0
2025-03-24 21:13:53,2,2,1698
2025-03-24 21:13:55,4,4,2343
2025-03-24 21:13:59,3,3,983
2025-03-24 21:14:03,0,0,0
2025-03-24 21:14:06,1,1,1480
2025-03-24 21:14:10,2,2,1146
